name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
Corsair Dominator Platinum RGB 32 GB,164.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 32 GB,124.99,3200,10.0,16.0,4.0,8.0,4,32.0
TEAMGROUP T-Create Expert 64 GB,184.99,6000,11.333,34.0,2.0,32.0,5,64.0
Corsair Vengeance RGB RT 32 GB,104.99,3600,8.889,16.0,2.0,16.0,4,32.0
Kingston FURY Beast RGB 16 GB,87.99,5600,14.286,40.0,2.0,8.0,5,16.0
Timetec PINNACLE Konduit 32 GB,62.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Dominator Platinum RGB 64 GB,289.99,5600,12.857,36.0,4.0,16.0,5,64.0
TEAMGROUP T-Create Expert 16 GB,34.99,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Vengeance 32 GB,113.99,5600,12.857,36.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 48 GB,229.99,7600,9.474,36.0,2.0,24.0,5,48.0
Corsair Vengeance RGB Pro SL 32 GB,99.99,3600,10.0,18.0,2.0,16.0,4,32.0
Kingston FURY Beast 32 GB,115.03,5200,15.385,40.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 8 GB,69.98,2400,12.5,15.0,1.0,8.0,4,8.0
OLOy OWL RGB 16 GB,42.99,3200,10.0,16.0,2.0,8.0,4,16.0
Kingston FURY Beast RGB 32 GB,129.99,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Create Expert 16 GB,32.99,3200,10.0,16.0,2.0,8.0,4,16.0
Kingston FURY Beast RGB 16 GB,89.08,5600,12.857,36.0,2.0,8.0,5,16.0
Corsair Vengeance RGB Pro 64 GB,139.99,3600,10.0,18.0,2.0,32.0,4,64.0
Corsair Vengeance 64 GB,167.99,4800,16.667,40.0,2.0,32.0,5,64.0
G.Skill Ripjaws V 16 GB,37.99,3200,10.0,16.0,1.0,16.0,4,16.0
Corsair Vengeance RGB 32 GB,124.99,6000,12.0,36.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 32 GB,73.98,2666,12.003,16.0,2.0,16.0,4,32.0
Crucial Classic 8 GB,26.99,5600,16.429,46.0,1.0,8.0,5,8.0
Silicon Power GAMING 16 GB,34.97,3600,10.0,18.0,2.0,8.0,4,16.0
TEAMGROUP T-Force Vulcan Z 32 GB,53.3,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Vulcan 32 GB,94.99,5600,12.857,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,132.99,7200,9.444,34.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,149.99,6400,10.0,32.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0
G.Skill Trident Z5 RGB 48 GB,279.99,8200,9.756,40.0,2.0,24.0,5,48.0
Corsair Dominator Titanium 32 GB,199.99,7200,9.444,34.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 64 GB,239.99,6800,10.0,34.0,2.0,32.0,5,64.0
Corsair Vengeance RGB Pro 32 GB,82.99,3600,10.0,18.0,2.0,16.0,4,32.0
G.Skill TridentZ RGB 32 GB,418.0,4800,8.333,20.0,2.0,16.0,4,32.0
Kingston FURY Beast RGB 32 GB,132.15,5600,12.857,36.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,239.99,5600,12.857,36.0,4.0,16.0,5,64.0
Kingston FURY Beast 16 GB,71.0,4800,15.833,38.0,2.0,8.0,5,16.0
Corsair Vengeance RGB 64 GB,184.99,5200,15.385,40.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,114.99,6000,12.0,36.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 32 GB,84.99,3600,10.0,18.0,2.0,16.0,4,32.0
G.Skill Ripjaws V 64 GB,201.22,4400,8.636,19.0,2.0,32.0,4,64.0
Corsair Dominator Platinum RGB 32 GB,119.99,3200,10.0,16.0,2.0,16.0,4,32.0
Crucial CT2K8G4DFRA32A 16 GB,39.99,3200,13.75,22.0,2.0,8.0,4,16.0
OLOy MD4U083216BJDA 16 GB,37.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Dominator Titanium 32 GB,175.99,6600,9.697,32.0,2.0,16.0,5,32.0
TEAMGROUP Elite 16 GB,45.99,6000,16.0,48.0,1.0,16.0,5,16.0
G.Skill Trident Z RGB 32 GB,99.99,4400,8.636,19.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 32 GB,104.99,4000,9.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance RGB 32 GB,109.99,5600,14.286,40.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 64 GB,147.99,3200,10.0,16.0,4.0,16.0,4,64.0
TEAMGROUP Elite Plus 64 GB,147.99,4800,16.667,40.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 32 GB,135.99,6200,11.613,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan 16 GB,67.99,5200,15.385,40.0,2.0,8.0,5,16.0
TEAMGROUP Elite 32 GB,80.98,5600,16.429,46.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,134.99,6000,13.333,40.0,2.0,16.0,5,32.0
Silicon Power XPOWER Zenith Gaming 32 GB,54.97,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 16 GB,44.99,3000,10.667,16.0,2.0,8.0,4,16.0
Corsair Vengeance 64 GB,199.99,6000,13.333,40.0,2.0,32.0,5,64.0
PNY XLR8 16 GB,39.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Dominator Titanium 32 GB,199.99,7000,9.714,34.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan 16 GB,67.99,5200,15.385,40.0,2.0,8.0,5,16.0
G.Skill Trident Z5 RGB 32 GB,124.99,6800,10.0,34.0,2.0,16.0,5,32.0
Corsair Dominator Titanium 64 GB,289.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance LPX 16 GB,44.99,3000,10.667,16.0,2.0,8.0,4,16.0
Kingston FURY Beast 16 GB,76.16,5200,13.846,36.0,2.0,8.0,5,16.0
G.Skill Ripjaws S5 64 GB,236.62,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB Pro SL 64 GB,179.99,3600,10.0,18.0,4.0,16.0,4,64.0
Kingston FURY Renegade 32 GB,192.07,3600,8.889,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Create Classic 64 GB,174.99,6000,16.0,48.0,2.0,32.0,5,64.0
Timetec PINNACLE Konduit 16 GB,45.55,3200,10.0,16.0,2.0,8.0,4,16.0
OLOy Blade RGB 64 GB,192.99,6400,10.0,32.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,119.99,6400,11.25,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 48 GB,253.73,8200,9.268,38.0,2.0,24.0,5,48.0
Kingston FURY Beast 32 GB,105.99,4800,15.833,38.0,2.0,16.0,5,32.0
Corsair Dominator Platinum RGB 32 GB,214.99,7600,9.474,36.0,2.0,16.0,5,32.0
G.Skill Trident Z Neo 64 GB,204.99,3600,8.889,16.0,4.0,16.0,4,64.0
Kingston FURY Beast RGB 16 GB,55.0,3600,9.444,17.0,2.0,8.0,4,16.0
Silicon Power XPOWER Zenith Gaming 64 GB,184.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Dominator Titanium 32 GB,169.99,6400,10.0,32.0,2.0,16.0,5,32.0
Patriot Viper Steel 8 GB,26.99,3200,10.0,16.0,2.0,4.0,4,8.0
TEAMGROUP T-Force Vulcan Z 16 GB,37.99,3600,10.0,18.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 64 GB,207.99,6000,12.0,36.0,2.0,32.0,5,64.0
Crucial Pro 48 GB,146.99,6000,16.0,48.0,2.0,24.0,5,48.0
Corsair Vengeance RGB Pro SL 16 GB,59.99,3200,10.0,16.0,2.0,8.0,4,16.0
KingBank SharpBlade 32 GB,98.99,6800,10.0,34.0,2.0,16.0,5,32.0
G.Skill Aegis 32 GB,61.99,3000,10.667,16.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 32 GB,89.99,3200,10.0,16.0,4.0,8.0,4,32.0
G.Skill Trident Z5 RGB 48 GB,249.99,8000,10.0,40.0,2.0,24.0,5,48.0
Crucial Classic 16 GB,55.99,5200,16.154,42.0,2.0,8.0,5,16.0
Patriot Viper Venom 16 GB,69.98,5600,14.286,40.0,2.0,8.0,5,16.0
G.Skill Trident Z5 Neo 32 GB,114.99,5600,10.0,28.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Expert 48 GB,199.99,7200,9.444,34.0,2.0,24.0,5,48.0
TEAMGROUP T-Force Delta RGB 32 GB,69.98,3200,10.0,16.0,2.0,16.0,4,32.0
G.Skill Ripjaws V 64 GB,138.99,3200,10.0,16.0,4.0,16.0,4,64.0
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0
Kingston FURY Renegade 16 GB,104.77,5133,7.793,20.0,2.0,8.0,4,16.0
Corsair Dominator Titanium First Edition 64 GB,359.99,6600,9.697,32.0,2.0,32.0,5,64.0
G.Skill Ripjaws S5 48 GB,169.99,6400,10.0,32.0,2.0,24.0,5,48.0
Corsair Vengeance LPX 16 GB,44.99,2666,12.003,16.0,2.0,8.0,4,16.0
Corsair Vengeance LPX 16 GB,54.98,2133,12.189,13.0,2.0,8.0,4,16.0
G.Skill Trident Z Royal 16 GB,77.98,3200,10.0,16.0,2.0,8.0,4,16.0
KingBank SharpBlade RGB 64 GB,182.99,6400,10.0,32.0,2.0,32.0,5,64.0
Kingston FURY Beast RGB 16 GB,79.98,5200,15.385,40.0,2.0,8.0,5,16.0
G.Skill Ripjaws S5 32 GB,119.99,6800,10.0,34.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,136.99,6600,9.697,32.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,6200,12.258,38.0,2.0,16.0,5,32.0
OLOy MD4U083016BGDA 16 GB,34.99,3000,10.667,16.0,2.0,8.0,4,16.0
TEAMGROUP T-Force Vulcan 32 GB,102.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Dominator Platinum RGB 64 GB,264.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,113.99,6000,13.333,40.0,2.0,16.0,5,32.0
G.Skill Flare X5 32 GB,104.99,5600,10.714,30.0,2.0,16.0,5,32.0
TEAMGROUP Elite 16 GB,42.99,5600,16.429,46.0,1.0,16.0,5,16.0
Mushkin Redline Lumina White 64 GB,219.99,6400,9.375,30.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Delta RGB 32 GB,104.99,5200,15.385,40.0,2.0,16.0,5,32.0
G.Skill Trident Z RGB 32 GB,79.98,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Delta RGB 32 GB,114.99,6600,10.303,34.0,2.0,16.0,5,32.0
G.Skill Trident Z5 Neo 32 GB,115.99,6000,10.667,32.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 64 GB,189.99,5600,10.0,28.0,2.0,32.0,5,64.0
Kingston FURY Beast 32 GB,113.88,5600,14.286,40.0,1.0,32.0,5,32.0
TEAMGROUP T-Force Vulcan 64 GB,179.99,6000,12.667,38.0,2.0,32.0,5,64.0
G.Skill Ripjaws V 16 GB,41.99,2400,12.5,15.0,2.0,8.0,4,16.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,5600,12.857,36.0,2.0,16.0,5,32.0
Corsair Dominator Titanium 64 GB,339.99,6000,12.0,36.0,4.0,16.0,5,64.0
TEAMGROUP T-Force Vulcan 32 GB,94.88,6400,12.5,40.0,2.0,16.0,5,32.0
Silicon Power XPOWER Zenith Gaming 64 GB,181.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 64 GB,249.99,5600,12.857,36.0,4.0,16.0,5,64.0
G.Skill Trident Z5 RGB 32 GB,117.99,6000,12.0,36.0,2.0,16.0,5,32.0
Klevv BOLT X 32 GB,59.99,3200,10.0,16.0,2.0,16.0,4,32.0
Kingston Fury Renegade RGB 32 GB,145.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,187.99,5600,14.286,40.0,2.0,32.0,5,64.0
OLOy WarHawk RGB 16 GB,40.46,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB 64 GB,309.99,6600,9.697,32.0,4.0,16.0,5,64.0
G.Skill Trident Z5 RGB 64 GB,217.99,6400,10.0,32.0,2.0,32.0,5,64.0
Kingston Fury Renegade RGB 48 GB,231.26,6400,10.0,32.0,1.0,48.0,5,48.0
Corsair Dominator Platinum RGB 32 GB,159.99,5600,12.857,36.0,2.0,16.0,5,32.0
Corsair Dominator Platinum RGB 32 GB,144.99,5200,15.385,40.0,2.0,16.0,5,32.0
Mushkin Enhanced Redline Stiletto 16 GB,42.99,3600,10.0,18.0,2.0,8.0,4,16.0
PNY Performance 8 GB,18.98,3200,13.75,22.0,1.0,8.0,4,8.0
Crucial CT8G4DFS824A 8 GB,19.98,2400,14.167,17.0,1.0,8.0,4,8.0
Silicon Power XPOWER Zenith Gaming 16 GB,36.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB Pro SL 16 GB,59.99,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Vengeance LPX 8 GB,24.99,3000,10.667,16.0,1.0,8.0,4,8.0
TEAMGROUP T-Force Xtreem ARGB 32 GB,79.98,3600,10.0,18.0,2.0,16.0,4,32.0
TEAMGROUP Xtreem 48 GB,279.99,8200,9.268,38.0,2.0,24.0,5,48.0
Corsair Vengeance RGB 32 GB,129.99,6600,11.515,38.0,2.0,16.0,5,32.0
Klevv CRAS XR5 RGB 32 GB,119.99,7200,10.0,36.0,2.0,16.0,5,32.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 64 GB,169.99,4000,9.0,18.0,2.0,32.0,4,64.0
OLOy Blade RGB 32 GB,69.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance 32 GB,124.99,5600,12.857,36.0,2.0,16.0,5,32.0
Kingston ValueRAM 8 GB,23.24,2666,14.254,19.0,1.0,8.0,4,8.0
G.Skill Trident Z5 Neo RGB 48 GB,172.99,6400,10.0,32.0,2.0,24.0,5,48.0
Kingston FURY Beast 16 GB,75.63,5600,14.286,40.0,2.0,8.0,5,16.0
TEAMGROUP T-Force Delta RGB 64 GB,134.99,3600,10.0,18.0,2.0,32.0,4,64.0
G.Skill Trident Z RGB 32 GB,99.99,3600,8.889,16.0,2.0,16.0,4,32.0
Corsair Dominator Titanium 64 GB,309.99,6400,10.0,32.0,2.0,32.0,5,64.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Aegis 8 GB,22.54,3000,10.667,16.0,1.0,8.0,4,8.0
Patriot Viper Steel 8 GB,18.98,3200,10.0,16.0,1.0,8.0,4,8.0
ADATA XPG SPECTRIX D50 16 GB,54.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 32 GB,189.99,7800,9.231,36.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,45.99,2400,11.667,14.0,1.0,16.0,4,16.0
Kingston FURY Beast 8 GB,43.08,6000,13.333,40.0,1.0,8.0,5,8.0
Corsair Vengeance 32 GB,134.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,45.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance LPX 8 GB,34.99,2666,12.003,16.0,2.0,4.0,4,8.0
Corsair Dominator Titanium 48 GB,249.99,7200,10.0,36.0,2.0,24.0,5,48.0
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,3600,10.0,18.0,2.0,16.0,4,32.0
Mushkin Enhanced Redline 64 GB,179.99,5600,10.0,28.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,127.99,6600,11.515,38.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 32 GB,113.98,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Vengeance 32 GB,109.99,5200,15.385,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Expert 32 GB,119.99,7200,9.444,34.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Classic 32 GB,59.99,3200,13.75,22.0,2.0,16.0,4,32.0
G.Skill Ripjaws S5 32 GB,106.99,6000,10.0,30.0,2.0,16.0,5,32.0
ADATA XPG LANCER RGB 16 GB,67.25,5200,14.615,38.0,1.0,16.0,5,16.0
Corsair Vengeance LPX 32 GB,68.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance 32 GB,107.99,5600,14.286,40.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 64 GB,229.99,6000,10.0,30.0,2.0,32.0,5,64.0
G.Skill Trident Z RGB 64 GB,179.99,4000,9.0,18.0,2.0,32.0,4,64.0
Patriot Viper Elite 5 RGB 16 GB,53.99,5600,13.571,38.0,1.0,16.0,5,16.0
Kingston FURY Beast RGB 16 GB,85.49,5200,13.846,36.0,2.0,8.0,5,16.0
TEAMGROUP Elite Plus 16 GB,45.99,5600,14.286,40.0,1.0,16.0,5,16.0
Kingston FURY Beast 64 GB,154.99,3200,10.0,16.0,2.0,32.0,4,64.0
G.Skill Ripjaws V 16 GB,47.99,4000,9.0,18.0,2.0,8.0,4,16.0
TEAMGROUP T-Create Expert 32 GB,94.99,6400,12.5,40.0,2.0,16.0,5,32.0
Mushkin Redline Lumina 64 GB,214.99,6400,9.375,30.0,2.0,32.0,5,64.0
G.Skill Trident Z Neo 32 GB,89.99,4000,9.0,18.0,2.0,16.0,4,32.0
G.Skill Trident Z Royal 32 GB,104.99,4000,9.0,18.0,2.0,16.0,4,32.0
G.Skill Trident Z5 Neo RGB 32 GB,116.99,5600,10.0,28.0,2.0,16.0,5,32.0
PNY XLR8 Gaming EPIC-X RGB 16 GB,47.99,3200,10.0,16.0,2.0,8.0,4,16.0
Patriot Viper Elite II 16 GB,32.99,2666,12.003,16.0,1.0,16.0,4,16.0
Kingston FURY Beast 32 GB,71.98,3200,10.0,16.0,1.0,32.0,4,32.0
Kingston Fury Renegade RGB 32 GB,137.99,6000,10.667,32.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,119.99,6000,12.0,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Expert 64 GB,119.99,3200,10.0,16.0,2.0,32.0,4,64.0
Corsair Dominator Titanium 64 GB,309.99,6400,10.0,32.0,2.0,32.0,5,64.0
Patriot Viper Steel 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0
TEAMGROUP Elite 32 GB,120.39,5200,16.154,42.0,2.0,16.0,5,32.0
Crucial Classic 8 GB,26.99,5200,16.154,42.0,1.0,8.0,5,8.0
Kingston FURY Beast 32 GB,69.99,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Vulcan Z 64 GB,117.99,3600,10.0,18.0,2.0,32.0,4,64.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,5600,12.857,36.0,2.0,16.0,5,32.0
Samsung M393A8G40MB2-CVF 64 GB,127.0,2933,14.32,21.0,1.0,64.0,4,64.0
Corsair Dominator Platinum RGB 32 GB,149.99,5600,12.857,36.0,2.0,16.0,5,32.0
OLOy Blade RGB 32 GB,209.99,8000,9.0,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,193.14,8000,9.5,38.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 64 GB,184.99,5200,15.385,40.0,2.0,32.0,5,64.0
Patriot Viper Elite II 8 GB,25.83,2666,12.003,16.0,1.0,8.0,4,8.0
Lexar Ares RGB 32 GB,99.99,5600,11.429,32.0,2.0,16.0,5,32.0
Patriot Viper Venom 64 GB,204.99,6400,10.0,32.0,2.0,32.0,5,64.0
Samsung M386A4G40DM0-CPB 32 GB,42.22,2133,14.065,15.0,1.0,32.0,4,32.0
Corsair Vengeance LPX 8 GB,24.99,3200,10.0,16.0,1.0,8.0,4,8.0
Corsair Dominator Platinum RGB 32 GB,179.99,3600,10.0,18.0,4.0,8.0,4,32.0
G.Skill Ripjaws S5 48 GB,149.99,6400,11.25,36.0,2.0,24.0,5,48.0
Lexar Hades OC 32 GB,64.98,3600,10.0,18.0,2.0,16.0,4,32.0
Patriot Viper Elite II 32 GB,77.98,4000,10.0,20.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 32 GB,73.99,2400,11.667,14.0,2.0,16.0,4,32.0
G.Skill Aegis 8 GB,22.73,3200,10.0,16.0,1.0,8.0,4,8.0
TEAMGROUP T-Force Delta RGB 48 GB,199.99,7200,9.444,34.0,2.0,24.0,5,48.0
PNY XLR8 32 GB,62.99,3600,10.0,18.0,2.0,16.0,4,32.0
Gigabyte AORUS RGB 16 GB,62.99,3733,9.644,18.0,2.0,8.0,4,16.0
Crucial CT2K16G56C46U5 32 GB,94.4,5600,16.429,46.0,2.0,16.0,5,32.0
Corsair Dominator Platinum RGB 64 GB,294.99,6600,9.697,32.0,2.0,32.0,5,64.0
G.Skill Trident Z5 Neo RGB 48 GB,174.99,6400,10.0,32.0,2.0,24.0,5,48.0
Kingston FURY Beast 16 GB,68.59,6000,12.0,36.0,1.0,16.0,5,16.0
Patriot Signature Line 16 GB,27.99,2666,14.254,19.0,1.0,16.0,4,16.0
Corsair CMV8GX4M1A2133C15 8 GB,19.98,2133,14.065,15.0,1.0,8.0,4,8.0
Crucial Ballistix MAX 16 GB,995.0,5100,7.451,19.0,2.0,8.0,4,16.0
Patriot Signature Line 16 GB,43.98,4800,16.667,40.0,1.0,16.0,5,16.0
G.Skill Ripjaws S5 32 GB,107.99,5600,10.0,28.0,2.0,16.0,5,32.0
Crucial CT16G56C46U5 16 GB,55.9,5600,16.429,46.0,1.0,16.0,5,16.0
Thermaltake TOUGHRAM XG RGB D5 32 GB,174.98,6000,12.0,36.0,2.0,16.0,5,32.0
Mushkin Redline Lumina 32 GB,124.99,6400,9.375,30.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,169.99,7800,9.744,38.0,2.0,16.0,5,32.0
Kingston FURY Beast 64 GB,215.99,5600,14.286,40.0,2.0,32.0,5,64.0
Corsair Vengeance 64 GB,259.99,6000,12.0,36.0,4.0,16.0,5,64.0
Corsair Vengeance RGB 64 GB,239.99,6000,13.333,40.0,2.0,32.0,5,64.0
Kingston FURY Renegade 32 GB,131.11,6000,10.667,32.0,2.0,16.0,5,32.0
Patriot Viper Steel 16 GB,38.99,3600,10.0,18.0,2.0,8.0,4,16.0
Crucial CT2K32G48C40U5 64 GB,170.3,4800,16.667,40.0,2.0,32.0,5,64.0
Corsair Dominator Titanium 32 GB,167.99,7000,9.714,34.0,2.0,16.0,5,32.0
TEAMGROUP Elite 8 GB,23.36,3200,13.75,22.0,1.0,8.0,4,8.0
Corsair Vengeance RGB Pro SL 32 GB,129.99,3600,10.0,18.0,4.0,8.0,4,32.0
Corsair Dominator Platinum RGB 64 GB,219.99,5200,15.385,40.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Delta RGB 32 GB,169.99,7800,9.744,38.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 64 GB,233.65,6000,13.333,40.0,2.0,32.0,5,64.0
G.Skill Trident Z5 RGB 48 GB,214.99,7200,10.0,36.0,2.0,24.0,5,48.0
Kingston FURY Renegade 64 GB,239.99,6000,10.667,32.0,2.0,32.0,5,64.0
Patriot Viper Steel RGB 32 GB,67.98,3600,11.111,20.0,1.0,32.0,4,32.0
Patriot Viper Xtreme 5 32 GB,137.99,7600,9.474,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
Crucial CT32G48C40U5 32 GB,89.08,4800,16.667,40.0,1.0,32.0,5,32.0
Corsair Vengeance RGB Pro SL 32 GB,92.99,3200,10.0,16.0,2.0,16.0,4,32.0
Thermaltake TOUGHRAM XG RGB 64 GB,549.99,4000,9.5,19.0,2.0,32.0,4,64.0
Silicon Power XPOWER Zenith RGB Gaming 64 GB,184.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Dominator Titanium 32 GB,169.99,6400,10.0,32.0,2.0,16.0,5,32.0
OLOy Blade RGB 32 GB,98.99,6000,12.0,36.0,2.0,16.0,5,32.0
ADATA XPG LANCER RGB 32 GB,99.99,5200,14.615,38.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,127.99,7000,10.286,36.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro SL 16 GB,59.99,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Dominator Platinum RGB 32 GB,254.99,6600,9.697,32.0,2.0,16.0,5,32.0
G.Skill Aegis 16 GB,37.99,3200,10.0,16.0,1.0,16.0,4,16.0
Patriot Viper Venom 32 GB,113.99,7200,9.444,34.0,2.0,16.0,5,32.0
G.Skill Value 8 GB,22.62,2400,14.167,17.0,2.0,4.0,4,8.0
Kingston FURY Beast 32 GB,125.9,6000,12.0,36.0,1.0,32.0,5,32.0
ADATA XPG SPECTRIX D50 32 GB,89.99,3200,10.0,16.0,2.0,16.0,4,32.0
Kingston FURY Beast RGB 16 GB,85.26,4800,15.833,38.0,2.0,8.0,5,16.0
TEAMGROUP Elite 8 GB,19.98,2666,14.254,19.0,1.0,8.0,4,8.0
Patriot Viper 4 Blackout 64 GB,117.99,3200,10.0,16.0,2.0,32.0,4,64.0
Kingston FURY Beast 32 GB,121.95,5200,13.846,36.0,2.0,16.0,5,32.0
Kingston FURY Beast RGB 32 GB,106.75,3600,10.0,18.0,2.0,16.0,4,32.0
G.Skill Trident Z RGB 32 GB,152.99,3200,8.75,14.0,2.0,16.0,4,32.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,65.98,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Vengeance RGB 64 GB,294.99,6400,10.0,32.0,4.0,16.0,5,64.0
ADATA XPG Lancer Blade 32 GB,105.97,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 48 GB,279.99,8200,9.756,40.0,2.0,24.0,5,48.0
G.Skill Trident Z5 Neo RGB 64 GB,214.99,6000,10.667,32.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Delta RGB 32 GB,111.44,6800,10.0,34.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,39.98,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 Neo RGB 32 GB,117.99,6000,10.667,32.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,149.99,6600,9.697,32.0,2.0,16.0,5,32.0
PNY XLR8 Gaming EPIC-X RGB 16 GB,46.99,3600,10.0,18.0,2.0,8.0,4,16.0
ADATA XPG GAMMIX D10 8 GB,34.04,3200,10.0,16.0,1.0,8.0,4,8.0
Samsung M393A2G40EB1-CRC 16 GB,20.93,2400,14.167,17.0,1.0,16.0,4,16.0
TEAMGROUP T-Force Delta RGB 32 GB,104.99,5200,15.385,40.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 32 GB,79.98,3000,10.667,16.0,2.0,16.0,4,32.0
